,specimen,num_amtl,age_at_death,age_sd,prob_male,genus,sockets,pop
0,AMNH99.1/100,0,3.7559128299999998,0.689761633,0.5,Homo sapiens,32,Alaska
1,AMNH99.1/101,10,3.9032966100000004,0.72151844,0.25,Homo sapiens,22,Alaska
2,AMNH99.1/102,1,3.4893404400000003,0.570308472,0.25,Homo sapiens,32,Alaska
3,AMNH99.1/103,0,2.9600404399999998,0.518766442,0.5,Homo sapiens,32,Alaska
4,AMNH99.1/104,0,4.40440145,0.8296245839999999,0.25,Homo sapiens,32,Alaska
5,AMNH99.1/105,0,3.2548079899999998,0.5819781039999999,0.75,Homo sapiens,32,Alaska
6,AMNH99.1/107,3,5.61166683,1.02682079,0.5,Homo sapiens,25,Alaska
7,AMNH99.1/109,6,4.374924699999999,0.823260632,0.75,Homo sapiens,30,Alaska
8,AMNH99.1/110,2,4.1980641599999995,0.785088419,0.75,Homo sapiens,15,Alaska
9,AMNH99.1/111,0,4.22754092,0.7914490200000001,0.5,Homo sapiens,32,Alaska
10,AMNH99.1/112,6,4.374924699999999,0.823260632,0.25,Homo sapiens,31,Alaska
11,AMNH99.1/160,5,5.5,1.5,0.25,Homo sapiens,13,Alaska
12,AMNH99.1/59,14,4.88,1.05,0.25,Homo sapiens,26,Alaska
13,AMNH99.1/59-B,0,4.0,1.0,0.25,Homo sapiens,16,Alaska
14,AMNH99.1/60,2,3.78538959,0.696111299,0.5,Homo sapiens,16,Alaska
15,AMNH99.1/61,0,3.43166852,0.619980411,0.75,Homo sapiens,32,Alaska
16,AMNH99.1/64,6,4.3146895899999995,0.747240717,0.25,Homo sapiens,30,Alaska
17,AMNH99.1/72,1,4.61073874,0.874186019,0.75,Homo sapiens,31,Alaska
18,AMNH99.1/75-A,0,3.13690097,0.556672472,0.75,Homo sapiens,32,Alaska
19,AMNH99.1/77,4,4.5200000000000005,1.26,0.75,Homo sapiens,31,Alaska
20,AMNH99.1/79,2,3.94,0.9099999999999999,0.25,Homo sapiens,16,Alaska
21,AMNH99.1/80(a),1,4.61073874,0.874186019,0.75,Homo sapiens,16,Alaska
22,AMNH99.1/80(b),0,4.374924699999999,0.823260632,0.75,Homo sapiens,15,Alaska
23,AMNH99.1/83-A,7,3.20178426,0.37220627,0.25,Homo sapiens,30,Alaska
24,AMNH99.1/84-A,0,3.07794746,0.5440296530000001,0.25,Homo sapiens,32,Alaska
25,AMNH99.1/84-B,12,4.88,1.05,0.25,Homo sapiens,28,Alaska
26,AMNH99.1/84-C,3,4.61073874,0.874186019,0.25,Homo sapiens,16,Alaska
27,AMNH99.1/84-D,0,3.3137614999999996,0.594640065,0.25,Homo sapiens,16,Alaska
28,AMNH99.1/86-C,5,4.72736416,0.83605854,0.25,Homo sapiens,31,Alaska
29,AMNH99.1/86-D,9,5.08236683,0.97611705,0.25,Homo sapiens,28,Alaska
30,AMNH99.1/87,8,4.5200000000000005,1.26,0.75,Homo sapiens,29,Alaska
31,AMNH99.1/89-A,0,4.374924699999999,0.823260632,0.75,Homo sapiens,32,Alaska
32,AMNH99.1/89-B,0,2.8421334099999997,0.49353696300000005,0.75,Homo sapiens,32,Alaska
33,AMNH99.1/90,12,5.5,1.5,0.75,Homo sapiens,30,Alaska
34,AMNH99.1/91-A,11,3.19585448,0.569322104,0.75,Homo sapiens,32,Alaska
35,AMNH99.1/91-B,9,5.08236683,0.97611705,0.5,Homo sapiens,30,Alaska
36,AMNH99.1/94,0,3.43166852,0.619980411,0.25,Homo sapiens,32,Alaska
37,AMNH99.1/96-A,0,3.78538959,0.696111299,0.75,Homo sapiens,32,Alaska
