,isocode,country,rugged,cont_africa,continent,log_gdp
2,AGO,Angola,0.858,1,0,7.492609314594155
4,ALB,Albania,3.427,0,2,8.216929096246016
7,ARE,United Arab Emirates,0.769,0,1,9.933262836198248
8,ARG,Argentina,0.775,0,5,9.407031523181868
9,ARM,Armenia,2.688,0,1,7.792342730865123
11,ATG,Antigua and Barbuda,0.006,0,4,9.212540948929679
12,AUS,Australia,0.143,0,3,10.143190831568187
13,AUT,Austria,3.513,0,2,10.274631710688618
14,AZE,Azerbaijan,1.672,0,1,7.8520284256206585
15,BDI,Burundi,1.78,1,0,6.432380450638202
16,BEL,Belgium,0.388,0,2,10.214751498985281
17,BEN,Benin,0.141,1,0,6.8661225392301
18,BFA,Burkina Faso,0.236,1,0,6.90617002312778
19,BGD,Bangladesh,0.186,0,1,7.299179608417195
20,BGR,Bulgaria,1.479,0,2,8.69603720857228
21,BHR,Bahrain,0.231,0,1,9.675839496154989
22,BHS,Bahamas,0.055,0,4,9.739626546385644
23,BIH,Bosnia and Herzegovina,2.311,0,2,8.574513536589045
24,BLR,Belarus,0.164,0,2,8.476810683640867
25,BLZ,Belize,0.607,0,4,8.677479239889577
27,BOL,Bolivia,0.853,0,5,7.7827468191622415
28,BRA,Brazil,0.24,0,5,8.895748113267409
29,BRB,Barbados,0.963,0,4,9.634992166093646
32,BWA,Botswana,0.181,1,0,8.949301269094107
33,CAF,Central African Republic,0.197,1,0,7.0458210009798545
34,CAN,Canada,0.775,0,4,10.21424849717497
36,CHE,Switzerland,4.761,0,2,10.31431459309049
37,CHL,Chile,2.481,0,5,9.117728797658442
38,CHN,China,1.878,0,1,8.275965859741719
39,CIV,Cote d'Ivoire,0.224,1,0,7.362409201946718
40,CMR,Cameroon,0.515,1,0,7.540455290729931
41,COD,Democratic Republic of the Congo,0.443,1,0,6.505280196289385
42,COG,Congo,0.152,1,0,6.864224410440025
44,COL,Colombia,0.885,0,5,8.73932118722848
45,COM,Comoros,3.328,1,0,7.478857981825639
46,CPV,Cape Verde,2.367,1,0,8.48861016095453
47,CRI,Costa Rica,2.112,0,4,9.061990120425072
51,CYP,Cyprus,2.718,0,1,9.919262471651491
52,CZE,Czech Republic,0.884,0,2,9.640382964096458
53,DEU,Germany,0.597,0,2,10.145705230560274
54,DJI,Djibouti,2.432,1,0,7.540072785453868
55,DMA,Dominica,0.003,0,4,8.688068657599265
56,DNK,Denmark,0.189,0,2,10.266414263391715
57,DOM,Dominican Republic,1.641,0,4,8.765739815079629
58,DZA,Algeria,0.51,1,0,8.59746541121139
59,ECU,Ecuador,1.278,0,5,8.123680863366468
60,EGY,Egypt,0.723,1,0,8.188224850018841
61,ERI,Eritrea,2.481,1,0,6.815512789002162
63,ESP,Spain,1.689,0,2,9.988050643250634
64,EST,Estonia,0.123,0,2,9.18633042631571
65,ETH,Ethiopia,1.57,1,0,6.454874611502322
66,FIN,Finland,0.328,0,2,10.14854444320223
67,FJI,Fiji,1.396,0,3,8.507122249289822
69,FRA,France,1.098,0,2,10.154168835978691
72,GAB,Gabon,0.218,1,0,8.719098724152927
73,GBR,United Kingdom of Great Britain and Northern Ireland,0.568,0,2,10.178542107416286
74,GEO,Georgia,3.659,0,1,7.539266388883681
75,GHA,Ghana,0.228,1,0,7.5458167197578785
77,GIN,Guinea,0.74,1,0,7.588725621861153
79,GMB,Gambia,0.353,1,0,7.454834526133165
80,GNB,Guinea-Bissau,0.491,1,0,6.66246452901108
81,GNQ,Equatorial Guinea,0.559,1,0,9.628362312050303
82,GRC,Greece,3.103,0,2,9.763750659847224
83,GRD,Grenada,2.088,0,4,8.927499229956886
85,GTM,Guatemala,1.807,0,4,8.287630833569695
88,GUY,Guyana,0.273,0,5,8.31193032360769
89,HKG,Hong Kong Special Administrative Region of China,2.501,0,1,10.157968129939535
90,HND,Honduras,2.15,0,4,7.826535309978762
91,HRV,Croatia,1.267,0,2,9.163822499196137
92,HTI,Haiti,2.362,0,4,7.494655995992739
93,HUN,Hungary,0.346,0,2,9.489760659678092
94,IDN,Indonesia,0.967,0,1,8.015748099234944
95,IND,India,1.013,0,1,7.789493074661978
97,IRL,Ireland,0.513,0,2,10.32654074614862
98,IRN,Iran; Islamic Republic of,2.445,0,1,8.670201275872806
100,ISL,Iceland,1.472,0,2,10.27261469504535
101,ISR,Israel,1.705,0,1,10.079872354959024
102,ITA,Italy,2.458,0,2,10.12641748103461
103,JAM,Jamaica,1.788,0,4,8.202589290183624
104,JOR,Jordan,1.097,0,1,8.254969357087973
105,JPN,Japan,2.132,0,1,10.1742697481323
106,KAZ,Kazakhstan,0.372,0,1,8.432601067490772
107,KEN,Kenya,0.669,1,0,6.926313014074405
108,KGZ,Kyrgyzstan,4.287,0,1,7.352441100243583
109,KHM,Cambodia,0.54,0,1,7.527827876334954
111,KNA,Saint Kitts and Nevis,0.006,0,4,9.325871986195402
112,KOR,Republic of Korea,1.96,0,1,9.691061982900337
113,KWT,Kuwait,0.245,0,1,9.677773199541205
114,LAO,Lao People's Democratic Republic,2.553,0,1,7.3587678390293165
115,LBN,Lebanon,4.197,0,1,8.346714431058047
118,LCA,Saint Lucia,2.147,0,4,8.634202060816573
120,LKA,Sri Lanka,0.65,0,1,8.1957568667845
121,LSO,Lesotho,6.202,1,0,7.66037064824154
122,LTU,Lithuania,0.175,0,2,9.078776300049492
123,LUX,Luxembourg,0.881,0,2,10.964607194084415
124,LVA,Latvia,0.154,0,2,8.975089825880099
125,MAC,Macao Special Administrative Region of China,0.732,0,1,9.82994542026482
126,MAR,Morocco,2.413,1,0,8.16446302801824
128,MDA,Republic of Moldova,0.799,0,2,7.194032114550891
129,MDG,Madagascar,1.169,1,0,6.715679100182788
131,MEX,Mexico,1.732,0,4,9.110107797038747
133,MKD,The former Yugoslav Republic of Macedonia,2.665,0,2,8.709415242838057
134,MLI,Mali,0.147,1,0,6.658777119498757
135,MLT,Malta,1.527,0,2,9.812234282334295
137,MNG,Mongolia,1.057,0,1,7.390450527818356
